product_name,predicted_cat,predicted_sub_cat,error
Zovi Green Cotton Casual Shirt (Size-42),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Yellow Solid Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Red Cotton T-Shirt (Size-M),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Green Cotton T-Shirt (Size-XL),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Twilight Blue And Red Striped Polo T-Shirt (Size-L),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Top Notch Solid Men's V-neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Brown Melange Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi White Cotton T-Shirt (Size-XXL),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Roadster Premium Casual Shoes,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Roadster Premium Casual Shoes,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton Jeans (Size-30),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Black Cotton T-Shirt (Size-S),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Black Cotton T-Shirt (Size-XL),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton T-Shirt (Size-L),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Jockey Men's Elance Brief,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Green Solid Henley T-Shirt With Pocket,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Green Cotton Casual Shirt (Size-46),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Neon Green Solid Polo T-Shirt With Pocket,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Flying Machine Full Sleeve Solid Men's Quilted Jacket,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
