u'Snapdeal_Computers & Peripherals->Pen Drives',Computers and Laptops->Pen Drives and Data Card
u'Snapdeal_Computers & Peripherals->Printers & Scanners',Computers and Laptops->Printers and Scanners
u'Snapdeal_Computers & Peripherals->Processor',Computers and Laptops->Computer Components
u'Snapdeal_Computers & Peripherals->RAM',Computers and Laptops->Computer Components
u'Snapdeal_Computers & Peripherals->Routers & Modems',Computers and Laptops->Routers and Modems
u'Snapdeal_Computers & Peripherals->Software',Software and E-learning
u'Snapdeal_Computers & Peripherals->Value Added Services',Software and E-learning
u'Snapdeal_Computers & Peripherals->Webcams',Computers and Laptops->Computer Components
u'Snapdeal_Eyewear->Eyeglasses & Frames',"Watches, Eyewear and Jewellery->Eyewear"
u'Snapdeal_Eyewear->Sunglasses',"Watches, Eyewear and Jewellery->Eyewear"
u'Snapdeal_Fashion Accessories->Belts',Apparel & Accessories
u'Snapdeal_Fashion Accessories->Card Holders',Apparel & Accessories
u'Snapdeal_Fashion Accessories->Cravats',Apparel & Accessories
u'Snapdeal_Fashion Accessories->Cufflinks',Apparel & Accessories
u'Snapdeal_Fashion Accessories->Gift Sets',Apparel & Accessories
u'Snapdeal_Fashion Accessories->Hair Accessories',Apparel & Accessories
u'Snapdeal_Fashion Accessories->Handkerchiefs',Apparel & Accessories
u'Snapdeal_Fashion Accessories->Hats & Caps',Apparel & Accessories
u'Snapdeal_Fashion Accessories->Headwraps',Apparel & Accessories
u'Snapdeal_Fashion Accessories->Key Chains',Apparel & Accessories
u'Snapdeal_Fashion Accessories->Mufflers',Apparel & Accessories
u'Snapdeal_Fashion Accessories->Necktie',Apparel & Accessories
u'Snapdeal_Fashion Accessories->Pocket Squares',Apparel & Accessories
u'Snapdeal_Fashion Accessories->Socks',Apparel & Accessories
u'Snapdeal_Fashion Accessories->Stoles & Scarves',Apparel & Accessories
u'Snapdeal_Fashion Accessories->Suspenders',Apparel & Accessories
u'Snapdeal_Fashion Accessories->Umbrella',Apparel & Accessories
u'Snapdeal_Fashion Accessories->Wallets',Apparel & Accessories
u'Snapdeal_Footwear->Kids Footwear',Shoes and Footwear->Kids' Footwear
"u""Snapdeal_Footwear->Men's Footwear""",Shoes and Footwear->Men's Footwear
"u""Snapdeal_Footwear->Women's Footwear""",Shoes and Footwear->Women's Footwear
u'Snapdeal_Furniture->Bean Bags',Home and Kitchen->Furniture
u'Snapdeal_Furniture->Bedroom',Home and Kitchen->Furniture
u'Snapdeal_Furniture->Chairs',Home and Kitchen->Furniture
u'Snapdeal_Furniture->Installation Services',Home and Kitchen->Furniture
u'Snapdeal_Furniture->Kids Furniture',Home and Kitchen->Furniture
"u'Snapdeal_Furniture->Kitchen,Dining & Bar'",Home and Kitchen->Furniture
u'Snapdeal_Furniture->Living Room',Home and Kitchen->Furniture
u'Snapdeal_Furniture->Office Furniture',Home and Kitchen->Furniture
u'Snapdeal_Furniture->Outdoor & Garden',Home and Kitchen->Furniture
u'Snapdeal_Furniture->Prefabricated Homes',Home and Kitchen->Furniture
u'Snapdeal_Furniture->Shelves',Home and Kitchen->Furniture
u'Snapdeal_Furniture->Storage & Organization',Home and Kitchen->Furniture
u'Snapdeal_Furniture->Storage Cabinets',Home and Kitchen->Furniture
u'Snapdeal_Furniture->Tables',Home and Kitchen->Furniture
u'Snapdeal_Gaming->Gaming Accessories',"Movies, Music and Video Games"
u'Snapdeal_Gaming->Gaming Consoles',"Movies, Music and Video Games"
u'Snapdeal_Gaming->Gaming Imports',"Movies, Music and Video Games"
u'Snapdeal_Gaming->Gaming Merchandise',"Movies, Music and Video Games"
u'Snapdeal_Gaming->Gaming Titles',"Movies, Music and Video Games"
u'Snapdeal_Hardware & Sanitary Fittings->Bathroom Accessories',Tools and Hardware->Bathroom Fittings and Accesories
u'Snapdeal_Hardware & Sanitary Fittings->Bathroom Accessories & Fittings',Tools and Hardware->Bathroom Fittings and Accesories
u'Snapdeal_Hardware & Sanitary Fittings->Building Material',Tools and Hardware
u'Snapdeal_Hardware & Sanitary Fittings->Door & Door Fittings',Tools and Hardware
