u'Amazon_Musical Instruments->Guitars & Gear',Musical Instruments
u'Amazon_Musical Instruments->Karaoke Equipment',Musical Instruments
u'Amazon_Musical Instruments->Microphones',Musical Instruments
u'Amazon_Musical Instruments->PA & Stage',Musical Instruments
u'Amazon_Musical Instruments->Piano & Keyboard',Musical Instruments
u'Amazon_Musical Instruments->Recording & Computer',Musical Instruments
u'Amazon_Musical Instruments->String Instruments',Musical Instruments
u'Amazon_Musical Instruments->Synthesizer & Sampler',Musical Instruments
u'Amazon_Musical Instruments->Wind Instruments',Musical Instruments
u'Amazon_Office Products->Art & Craft Supplies',Office Products
u'Amazon_Office Products->Office Electronics',Office Products
u'Amazon_Office Products->Office Paper Products',Office Products->Office Stationary
u'Amazon_Office Products->Office Supplies',Office Products
u'Amazon_Pet Supplies->Birds',Pet Supplies
u'Amazon_Pet Supplies->Cats',Pet Supplies
u'Amazon_Pet Supplies->Dogs',Pet Supplies
u'Amazon_Pet Supplies->Fish & Aquatics',Pet Supplies
u'Amazon_Pet Supplies->Small Animals',Pet Supplies
u'Amazon_Shoes & Handbags->Handbags & Clutches',"Handbags, Bags and Luggage"
u'Amazon_Shoes & Handbags->Shoe Care & Accessories',Shoes and Footwear
u'Amazon_Shoes & Handbags->Shoes',Shoes and Footwear
u'Amazon_Software->Accounting & Finance',Software and E-learning
u'Amazon_Software->Antivirus & Security',Software and E-learning
u'Amazon_Software->Business & Office',Software and E-learning
"u""Amazon_Software->Children's Software""",Software and E-learning
u'Amazon_Software->Education & Reference',Software and E-learning
u'Amazon_Software->Home & Hobbies',Software and E-learning
u'Amazon_Software->Language & Travel',Software and E-learning
u'Amazon_Software->Operating Systems',Software and E-learning
u'Amazon_Software->System Utilities',Software and E-learning
"u'Amazon_Sports, Fitness & Outdoors->Archery'",Sports and Outdoors
"u'Amazon_Sports, Fitness & Outdoors->Badminton'",Sports and Outdoors
"u'Amazon_Sports, Fitness & Outdoors->Baseball'",Sports and Outdoors
"u'Amazon_Sports, Fitness & Outdoors->Basketball'",Sports and Outdoors
"u'Amazon_Sports, Fitness & Outdoors->Billiards'",Sports and Outdoors
